"name","description","prep time","difficulty","done","image"
"Apple sauce","Our easy apple sauce is a great accompaniment to rich meats, such as goose or pork. It needs just three ingredients to make in one simple step","30 mins","easy","false",""
"Pickled pears","A stylish and gorgeous treat, spooned out of the jar with a little of the syrup","45 mins","easy","false",""
"Cauliflower rice","Pulse cauliflower in a food processor to make cauliflower couscous or an easy rice-like side dish that's much lower GI and ready in just 10 minutes...","10 mins","","false",""
"Red lentil, chickpea & chilli soup","Come home to a warming bowlful of this filling, low-fat soup","","","false",""
"Spinach, sweet potato & lentil dhal","A comforting vegan one-pot recipe that counts for 3 of your 5-a-day! You can't go wrong with this iron-rich, low-fat, low-calorie supper...","","","true",""
"tuna salad","tuna, mayo, celery","7 min","Medium","false",""
